Site,Year,Month,Week,Measurement,Date,Dyno.cm,Waveht.ft,Chla.fl ,wavetime.sec
TC,2013,June,Sampling Period 3,1,6/25/13,NA,NA,19.02,NA
AC,2013,June,Sampling Period 3,2,6/25/13,NA,NA,59.63,NA
TC,2013,June,Sampling Period 3,2,6/25/13,NA,NA,25.08,NA
AC,2013,June,Sampling Period 3,3,6/25/13,NA,NA,58.5,NA
TC,2013,June,Sampling Period 3,3,6/25/13,NA,NA,20.91,NA
AC,2013,June,Sampling Period 3,4,6/25/13,NA,NA,45.77,NA
TC,2013,June,Sampling Period 3,4,6/25/13,NA,NA,18.46,NA
AC,2013,June,Sampling Period 3,5,6/25/13,NA,NA,49.04,NA
TC,2013,June,Sampling Period 3,5,6/25/13,NA,NA,16.93,NA
AC,2013,June,Sampling Period 3,1,6/25/13,NA,NA,NA,42.31
TC,2013,June,Sampling Period 3,1,6/25/13,NA,NA,NA,25.07
AC,2013,June,Sampling Period 3,2,6/25/13,NA,NA,NA,39.49
TC,2013,June,Sampling Period 3,2,6/25/13,NA,NA,NA,29.72
AC,2013,June,Sampling Period 3,3,6/25/13,NA,NA,NA,46.25
TC,2013,June,Sampling Period 3,3,6/25/13,NA,NA,NA,23.72
AC,2013,June,Sampling Period 3,4,6/25/13,NA,NA,NA,41.18
TC,2013,June,Sampling Period 3,4,6/25/13,NA,NA,NA,24.97
AC,2013,June,Sampling Period 3,5,6/25/13,NA,NA,NA,41.15
TC,2013,June,Sampling Period 3,5,6/25/13,NA,NA,NA,25.38
PC,2013,June,Sampling Period 3,1,6/27/13,4.5,3,NA,NA
PC,2013,June,Sampling Period 3,2,6/27/13,NA,1.5,NA,NA
AP,2013,June,Sampling Period 3,1,6/27/13,NA,NA,34.72,NA
PC,2013,June,Sampling Period 3,1,6/27/13,NA,NA,25.98,NA
AP,2013,June,Sampling Period 3,2,6/27/13,NA,NA,36.18,NA
PC,2013,June,Sampling Period 3,2,6/27/13,NA,NA,27.55,NA
AP,2013,June,Sampling Period 3,3,6/27/13,NA,NA,30.76,NA
PC,2013,June,Sampling Period 3,3,6/27/13,NA,NA,54.57,NA
AP,2013,June,Sampling Period 3,4,6/27/13,NA,NA,37.29,NA
PC,2013,June,Sampling Period 3,4,6/27/13,NA,NA,62.53,NA
AP,2013,June,Sampling Period 3,5,6/27/13,NA,NA,38.35,NA
PC,2013,June,Sampling Period 3,5,6/27/13,NA,NA,33.65,NA
AP,2013,June,Sampling Period 3,1,6/27/13,NA,NA,NA,41.38
PC,2013,June,Sampling Period 3,1,6/27/13,NA,NA,NA,28.91
AP,2013,June,Sampling Period 3,2,6/27/13,NA,NA,NA,36.18
PC,2013,June,Sampling Period 3,2,6/27/13,NA,NA,NA,23.59
AP,2013,June,Sampling Period 3,3,6/27/13,NA,NA,NA,41.03
PC,2013,June,Sampling Period 3,3,6/27/13,NA,NA,NA,26.09
AP,2013,June,Sampling Period 3,4,6/27/13,NA,NA,NA,37.29
PC,2013,June,Sampling Period 3,4,6/27/13,NA,NA,NA,27.54
AP,2013,June,Sampling Period 3,5,6/27/13,NA,NA,NA,39.68
PC,2013,June,Sampling Period 3,5,6/27/13,NA,NA,NA,25.44
AP,2013,June,Sampling Period 3,1,6/28/13,0.3,4,NA,NA
AP,2013,June,Sampling Period 3,2,6/28/13,0.4,2,NA,NA
AP,2013,June,Sampling Period 3,1,6/28/13,NA,NA,69.86,NA
PC,2013,June,Sampling Period 3,1,6/28/13,NA,NA,31.55,NA
AP,2013,June,Sampling Period 3,2,6/28/13,NA,NA,63.1,NA
PC,2013,June,Sampling Period 3,2,6/28/13,NA,NA,23.3,NA
AP,2013,June,Sampling Period 3,3,6/28/13,NA,NA,71.23,NA
PC,2013,June,Sampling Period 3,3,6/28/13,NA,NA,28.56,NA
AP,2013,June,Sampling Period 3,4,6/28/13,NA,NA,56.19,NA
PC,2013,June,Sampling Period 3,4,6/28/13,NA,NA,24.87,NA
AP,2013,June,Sampling Period 3,5,6/28/13,NA,NA,60.49,NA
PC,2013,June,Sampling Period 3,5,6/28/13,NA,NA,28.95,NA
AP,2013,June,Sampling Period 3,1,6/28/13,NA,NA,NA,35.4
PC,2013,June,Sampling Period 3,1,6/28/13,NA,NA,NA,31.93
AP,2013,June,Sampling Period 3,2,6/28/13,NA,NA,NA,38.75
PC,2013,June,Sampling Period 3,2,6/28/13,NA,NA,NA,28.69
AP,2013,June,Sampling Period 3,3,6/28/13,NA,NA,NA,31.25
PC,2013,June,Sampling Period 3,3,6/28/13,NA,NA,NA,35.03
AP,2013,June,Sampling Period 3,4,6/28/13,NA,NA,NA,30.32
PC,2013,June,Sampling Period 3,4,6/28/13,NA,NA,NA,30.32
AP,2013,June,Sampling Period 3,5,6/28/13,NA,NA,NA,31.1
PC,2013,June,Sampling Period 3,5,6/28/13,NA,NA,NA,31.32
TC,2013,July ,Sampling Period 4,1,7/8/13,0.1,0.5,NA,NA
TC,2013,July ,Sampling Period 4,2,7/8/13,0.1,0.5,NA,NA
FB,2013,July,Sampling Period 4,1,7/8/13,NA,NA,40.12,NA
FB,2013,July,Sampling Period 4,2,7/8/13,NA,NA,43.7,NA
FB,2013,July,Sampling Period 4,3,7/8/13,NA,NA,39.28,NA
FB,2013,July,Sampling Period 4,4,7/8/13,NA,NA,39.77,NA
FB,2013,July,Sampling Period 4,5,7/8/13,NA,NA,40.48,NA
FB,2013,July,Sampling Period 4,1,7/8/13,NA,NA,NA,18.72
FB,2013,July,Sampling Period 4,2,7/8/13,NA,NA,NA,19.66
FB,2013,July,Sampling Period 4,3,7/8/13,NA,NA,NA,20
FB,2013,July,Sampling Period 4,4,7/8/13,NA,NA,NA,18.93
FB,2013,July,Sampling Period 4,5,7/8/13,NA,NA,NA,18.15
FB,2013,July ,Sampling Period 4,1,7/9/13,0.2,2,NA,NA
FB,2013,July ,Sampling Period 4,2,7/9/13,0.2,1.5,NA,NA
AC,2013,July,Sampling Period 4,1,7/9/13,NA,NA,73.4,NA
FB,2013,July,Sampling Period 4,1,7/9/13,NA,NA,72.52,NA
TC,2013,July,Sampling Period 4,1,7/9/13,NA,NA,24.58,NA
AC,2013,July,Sampling Period 4,2,7/9/13,NA,NA,77.57,NA
FB,2013,July,Sampling Period 4,2,7/9/13,NA,NA,145,NA
TC,2013,July,Sampling Period 4,2,7/9/13,NA,NA,24.03,NA
AC,2013,July,Sampling Period 4,3,7/9/13,NA,NA,81.43,NA
FB,2013,July,Sampling Period 4,3,7/9/13,NA,NA,204.4,NA
TC,2013,July,Sampling Period 4,3,7/9/13,NA,NA,29.74,NA
AC,2013,July,Sampling Period 4,4,7/9/13,NA,NA,81.31,NA
FB,2013,July,Sampling Period 4,4,7/9/13,NA,NA,97,NA
TC,2013,July,Sampling Period 4,4,7/9/13,NA,NA,24.08,NA
AC,2013,July,Sampling Period 4,5,7/9/13,NA,NA,66.35,NA
FB,2013,July,Sampling Period 4,5,7/9/13,NA,NA,134.6,NA
TC,2013,July,Sampling Period 4,5,7/9/13,NA,NA,22.21,NA
AC,2013,July,Sampling Period 4,1,7/9/13,NA,NA,NA,15.35
FB,2013,July,Sampling Period 4,1,7/9/13,NA,NA,NA,19.57
TC,2013,July,Sampling Period 4,1,7/9/13,NA,NA,NA,19.12
AC,2013,July,Sampling Period 4,2,7/9/13,NA,NA,NA,19.1
FB,2013,July,Sampling Period 4,2,7/9/13,NA,NA,NA,19.16
TC,2013,July,Sampling Period 4,2,7/9/13,NA,NA,NA,19.63
