#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,1,7,18,50,320 1,0.1,12.5,2.96,14.81,7.57,300,1025,12.1,12.4,999,99,99
2013,1,7,19,50,317,9.7,11.8,3.25,13.79,7.91,304,1024,12.1,12.4,999,99,99
2013,1,7,20,50,315,8.8,10.7,3.17,12.12,7.31,313,1023,12,12.4,999,99,99
2013,1,7,21,50,317 1,0.1,12.2,3.04,12.12,7.3,303,1022.3,12.1,12.3,999,99,99
2013,1,7,22,50,317 1,0.8,13.7,2.75,12.12,6.91,293,1022.1,12.2,12.4,999,99,99
2013,1,7,23,50,315 1,0.4,12.6,3.11,12.9,7.17,300,1021.8,12.3,12.5,999,99,99
2013,1,8,0,50,326 1,0,11.7,2.93,12.9,7.05,296,1022,12.3,12.4,999,99,99
2013,1,8,1,50,328,9.9,12.2,3.27,13.79,7.35,294,1021.9,12.2,12.4,999,99,99
2013,1,8,2,50,325,9.9,12.3,2.96,13.79,6.9,294,1021.7,12.2,12.4,999,99,99
2013,1,8,3,50,324 1,0.9,13.1,2.94,12.9,6.87,296,1021.8,12.1,12.4,999,99,99
2013,1,8,4,50,323,9.5,11.7,3.02,12.12,7.09,292,1021.8,12.1,12.4,999,99,99
2013,1,8,5,50,324 1,0.1,12.2,3.17,12.9,7.33,301,1021.8,12.1,12.4,999,99,99
2013,1,8,6,50,320 1,0.2,12.6,3.52,7.69,7.34,304,1022,12,12.4,999,99,99
2013,1,8,7,50,329 1,0.9,13.3,3.18,8.33,7.05,298,1022.2,11.8,12.4,999,99,99
2013,1,8,8,50,319 1,0.7,13.5,2.91,11.43,6.73,310,1022.1,11.7,12.4,999,99,99
2013,1,8,9,50,326,9.7,12.1,2.93,10.81,6.88,306,1022.4,11.8,12.4,999,99,99
2013,1,8,10,50,327,9.4,11.5,2.8,7.69,6.81,300,1022.3,11.7,12.3,999,99,99
2013,1,8,11,50,326 1,0.1,11.6,3.15,10,7.29,307,1022.2,11.1,12.3,999,99,99
2013,1,8,12,50,330,9.9,11.8,3.13,11.43,7.32,314,1021.8,11.2,12.3,999,99,99
2013,1,8,13,50,336,9.7,11.7,3.05,9.09,7.18,303,1021.7,11,12.3,999,99,99
2013,1,8,14,50,340,9.8,11.7,3.11,10.81,7.21,303,1022.1,11.3,12.3,999,99,99
2013,1,8,15,50,331,8.4,10.4,3.16,9.09,7.12,304,1022.6,11.4,12.3,999,99,99
2013,1,8,16,50,327,9.1,10.6,3.06,12.12,7.36,301,1023.1,11.2,12.3,999,99,99
2013,1,8,17,50,328,8.5,10.2,3.18,10.81,7.43,298,1023.7,11.6,12.3,999,99,99
2013,1,8,18,50,334,8.1,10,2.89,12.9,7.22,301,1023.5,11.5,12.3,999,99,99
2013,1,8,19,50,329,8,10,2.76,12.12,7.11,301,1022.6,11.3,12.3,999,99,99
2013,1,8,20,50,331,7.5,8.9,2.68,12.9,7.09,312,1021.8,11.3,12.3,999,99,99
2013,1,8,21,50,328,6.9,8.1,2.75,12.12,7.48,304,1021.5,11.5,12.2,999,99,99
2013,1,8,22,50,328,8.2,9.8,2.6,12.12,7.33,306,1021.3,11.3,12.2,999,99,99
2013,1,8,23,50,335,7.6,9,2.55,12.9,7.33,311,1021,11.3,12.2,999,99,99
