Site,Year,Month,Week,Measurement,Date,wavetimeonly
PC,2013,May,Sampling Period 1,5,5/30/13,30.13
AP,2013,August,Sampling Period 6,1,8/8/13,30.22
AP,2013,May,Sampling Period 1,4,5/30/13,30.28
AP,2013,June,Sampling Period 3,4,6/28/13,30.32
PC,2013,June,Sampling Period 3,4,6/28/13,30.32
AC,2013,May,Sampling Period 1,1,5/28/13,30.37
PC,2013,July,Sampling Period 4,1,7/12/13,30.37
TC,2013,May,Sampling Period 1,1,5/27/13,30.4
AP,2013,July,Sampling Period 5,1,7/25/13,30.47
AP,2013,May,Sampling Period 1,5,5/29/13,30.5
AP,2013,July,Sampling Period 4,4,7/11/13,30.56
AP,2013,August,Sampling Period 7,5,8/22/13,30.56
AC,2013,June,Sampling Period 3,4,6/24/13,30.59
AP,2013,July,Sampling Period 5,5,7/25/13,30.6
AP,2013,July,Sampling Period 4,3,7/11/13,30.69
FB,2013,August,Sampling Period 7,2,8/18/13,31.09
AP,2013,June,Sampling Period 3,5,6/28/13,31.1
AP,2013,May,Sampling Period 1,5,5/30/13,31.21
AP,2013,June,Sampling Period 3,3,6/28/13,31.25
AP,2013,July,Sampling Period 5,2,7/25/13,31.28
AC,2013,May,Sampling Period 1,2,5/28/13,31.32
PC,2013,June,Sampling Period 3,5,6/28/13,31.32
AP,2013,July,Sampling Period 5,3,7/25/13,31.43
PC,2013,May,Sampling Period 1,3,5/29/13,31.54
FB,2013,August,Sampling Period 7,1,8/18/13,31.62
AC,2013,June,Sampling Period 3,2,6/24/13,31.69
AP,2013,July,Sampling Period 5,4,7/24/13,31.69
AP,2013,July,Sampling Period 4,5,7/10/13,31.84
PC,2013,June,Sampling Period 3,1,6/28/13,31.93
AC,2013,May,Sampling Period 1,3,5/27/13,31.96
FB,2013,August,Sampling Period 7,2,8/19/13,32.13
FB,2013,August,Sampling Period 7,4,8/18/13,32.34
AC,2013,June,Sampling Period 3,5,6/24/13,32.4
AP,2013,August,Sampling Period 6,4,8/8/13,32.47
FB,2013,June,Sampling Period 2,5,6/11/13,32.53
FB,2013,August,Sampling Period 7,1,8/19/13,32.69
PC,2013,July,Sampling Period 4,5,7/12/13,32.75
AC,2013,May,Sampling Period 1,4,5/28/13,33.09
FB,2013,June,Sampling Period 2,4,6/10/13,33.12
FB,2013,June,Sampling Period 2,1,6/10/13,33.13
FB,2013,June,Sampling Period 2,1,6/11/13,33.13
TC,2013,June,Sampling Period 2,3,6/9/13,33.16
AP,2013,August,Sampling Period 7,1,8/21/13,33.16
AP,2013,May,Sampling Period 1,4,5/29/13,33.19
FB,2013,June,Sampling Period 2,5,6/10/13,33.25
TC,2013,May,Sampling Period 1,2,5/27/13,33.28
AP,2013,June,Sampling Period 2,4,6/13/13,33.28
PC,2013,July,Sampling Period 4,2,7/12/13,33.37
FB,2013,June,Sampling Period 2,2,6/10/13,33.43
FB,2013,June,Sampling Period 2,4,6/11/13,33.56
AP,2013,July,Sampling Period 5,4,7/25/13,33.56
AP,2013,July,Sampling Period 5,3,7/24/13,33.6
FB,2013,June,Sampling Period 2,3,6/11/13,33.63
PC,2013,June,Sampling Period 2,4,6/14/13,33.74
AC,2013,June,Sampling Period 3,3,6/24/13,33.74
AP,2013,May,Sampling Period 1,3,5/29/13,33.81
FB,2013,June,Sampling Period 2,2,6/11/13,33.85
AP,2013,July,Sampling Period 5,2,7/24/13,33.9
TC,2013,June,Sampling Period 2,2,6/10/13,34.06
TC,2013,June,Sampling Period 2,4,6/9/13,34.1
FB,2013,August,Sampling Period 7,5,8/19/13,34.25
TC,2013,June,Sampling Period 2,1,6/10/13,34.84
AP,2013,August,Sampling Period 7,2,8/22/13,34.84
FB,2013,August,Sampling Period 7,5,8/18/13,34.9
PC,2013,June,Sampling Period 3,3,6/28/13,35.03
PC,2013,June,Sampling Period 2,1,6/14/13,35.06
TC,2013,June,Sampling Period 2,1,6/9/13,35.12
FB,2013,June,Sampling Period 2,3,6/10/13,35.16
AP,2013,June,Sampling Period 3,1,6/28/13,35.4
FB,2013,August,Sampling Period 7,3,8/18/13,35.41
AP,2013,August,Sampling Period 7,1,8/22/13,35.6
PC,2013,May,Sampling Period 1,4,5/30/13,36.03
AP,2013,June,Sampling Period 3,2,6/27/13,36.18
PC,2013,May,Sampling Period 1,1,5/29/13,36.35
AP,2013,June,Sampling Period 2,3,6/13/13,36.46
FB,2013,August,Sampling Period 7,4,8/19/13,36.5
PC,2013,June,Sampling Period 2,3,6/14/13,36.53
TC,2013,June,Sampling Period 2,5,6/9/13,36.62
TC,2013,June,Sampling Period 2,5,6/10/13,36.68
PC,2013,May,Sampling Period 1,3,5/30/13,37.06
TC,2013,June,Sampling Period 2,4,6/10/13,37.16
PC,2013,June,Sampling Period 2,2,6/13/13,37.19
PC,2013,June,Sampling Period 2,5,6/14/13,37.22
PC,2013,May,Sampling Period 1,5,5/29/13,37.25
AP,2013,June,Sampling Period 3,4,6/27/13,37.29
PC,2013,June,Sampling Period 2,2,6/14/13,37.31
AP,2013,June,Sampling Period 2,5,6/13/13,37.84
PC,2013,June,Sampling Period 2,5,6/13/13,38.22
PC,2013,May,Sampling Period 1,4,5/29/13,38.31
PC,2013,June,Sampling Period 2,1,6/13/13,38.35
AP,2013,June,Sampling Period 2,1,6/13/13,38.38
AP,2013,May,Sampling Period 1,2,5/29/13,38.6
AP,2013,June,Sampling Period 3,2,6/28/13,38.75
PC,2013,May,Sampling Period 1,1,5/30/13,38.78
AP,2013,May,Sampling Period 1,1,5/29/13,39.28
PC,2013,June,Sampling Period 2,4,6/13/13,39.28
FB,2013,August,Sampling Period 7,3,8/19/13,39.28
TC,2013,June,Sampling Period 2,3,6/10/13,39.44
AC,2013,June,Sampling Period 3,2,6/25/13,39.49
PC,2013,May,Sampling Period 1,2,5/30/13,39.68
AP,2013,June,Sampling Period 3,5,6/27/13,39.68
TC,2013,June,Sampling Period 2,2,6/9/13,39.72
PC,2013,June,Sampling Period 2,3,6/13/13,39.75
